method,qa_id,gold_rr,top10_count
ZScore_Raw,conv-26_qa_0,1.0,10
ZScore_Raw,conv-26_qa_1,0,10
ZScore_Raw,conv-26_qa_10,0.5,10
ZScore_Raw,conv-26_qa_100,0,10
ZScore_Raw,conv-26_qa_101,0.5,10
ZScore_Raw,conv-26_qa_102,0.5,10
ZScore_Raw,conv-26_qa_103,0.5,10
ZScore_Raw,conv-26_qa_104,0.3333333333333333,10
ZScore_Raw,conv-26_qa_105,0,10
ZScore_Raw,conv-26_qa_106,0.1111111111111111,10
ZScore_Raw,conv-26_qa_107,1.0,10
ZScore_Raw,conv-26_qa_108,0.1,10
ZScore_Raw,conv-26_qa_109,1.0,10
ZScore_Raw,conv-26_qa_11,0.25,10
ZScore_Raw,conv-26_qa_110,1.0,10
ZScore_Raw,conv-26_qa_111,0.3333333333333333,10
ZScore_Raw,conv-26_qa_112,1.0,10
ZScore_Raw,conv-26_qa_113,1.0,10
ZScore_Raw,conv-26_qa_114,1.0,10
ZScore_Raw,conv-26_qa_115,1.0,10
ZScore_Raw,conv-26_qa_116,0,10
ZScore_Raw,conv-26_qa_117,1.0,10
ZScore_Raw,conv-26_qa_118,0.5,10
ZScore_Raw,conv-26_qa_119,0.25,10
ZScore_Raw,conv-26_qa_12,1.0,10
ZScore_Raw,conv-26_qa_120,1.0,10
ZScore_Raw,conv-26_qa_121,0.1,10
ZScore_Raw,conv-26_qa_122,0.25,10
ZScore_Raw,conv-26_qa_123,0.16666666666666666,10
ZScore_Raw,conv-26_qa_124,0,10
ZScore_Raw,conv-26_qa_125,1.0,10
ZScore_Raw,conv-26_qa_126,1.0,10
ZScore_Raw,conv-26_qa_127,0.14285714285714285,10
ZScore_Raw,conv-26_qa_128,0.16666666666666666,10
ZScore_Raw,conv-26_qa_129,0.5,10
ZScore_Raw,conv-26_qa_13,0.16666666666666666,10
ZScore_Raw,conv-26_qa_130,1.0,10
ZScore_Raw,conv-26_qa_131,1.0,10
ZScore_Raw,conv-26_qa_132,0.2,10
ZScore_Raw,conv-26_qa_133,0.3333333333333333,10
ZScore_Raw,conv-26_qa_134,0,10
ZScore_Raw,conv-26_qa_135,0.16666666666666666,10
ZScore_Raw,conv-26_qa_136,0,10
ZScore_Raw,conv-26_qa_137,0,10
ZScore_Raw,conv-26_qa_138,0,10
ZScore_Raw,conv-26_qa_139,0,10
ZScore_Raw,conv-26_qa_14,0.16666666666666666,10
ZScore_Raw,conv-26_qa_140,0.5,10
ZScore_Raw,conv-26_qa_141,0.5,10
ZScore_Raw,conv-26_qa_142,0,10
ZScore_Raw,conv-26_qa_143,0.5,10
ZScore_Raw,conv-26_qa_144,1.0,10
ZScore_Raw,conv-26_qa_145,1.0,10
ZScore_Raw,conv-26_qa_146,0.3333333333333333,10
ZScore_Raw,conv-26_qa_147,0.16666666666666666,10
ZScore_Raw,conv-26_qa_148,1.0,10
ZScore_Raw,conv-26_qa_149,0,10
ZScore_Raw,conv-26_qa_15,0.1111111111111111,10
ZScore_Raw,conv-26_qa_150,0,10
ZScore_Raw,conv-26_qa_151,1.0,10
ZScore_Raw,conv-26_qa_16,0.5,10
ZScore_Raw,conv-26_qa_17,1.0,10
ZScore_Raw,conv-26_qa_18,0.3333333333333333,10
ZScore_Raw,conv-26_qa_19,0,10
ZScore_Raw,conv-26_qa_2,1.0,10
ZScore_Raw,conv-26_qa_20,1.0,10
ZScore_Raw,conv-26_qa_21,0.125,10
ZScore_Raw,conv-26_qa_22,1.0,10
ZScore_Raw,conv-26_qa_23,0.2,10
ZScore_Raw,conv-26_qa_24,0.2,10
ZScore_Raw,conv-26_qa_25,1.0,10
ZScore_Raw,conv-26_qa_26,1.0,10
ZScore_Raw,conv-26_qa_27,0.14285714285714285,10
ZScore_Raw,conv-26_qa_28,0.3333333333333333,10
ZScore_Raw,conv-26_qa_29,1.0,10
ZScore_Raw,conv-26_qa_3,0,10
ZScore_Raw,conv-26_qa_30,0,10
ZScore_Raw,conv-26_qa_31,0.1111111111111111,10
ZScore_Raw,conv-26_qa_32,0.5,10
ZScore_Raw,conv-26_qa_33,1.0,10
ZScore_Raw,conv-26_qa_34,0,10
ZScore_Raw,conv-26_qa_35,0.1111111111111111,10
ZScore_Raw,conv-26_qa_36,1.0,10
ZScore_Raw,conv-26_qa_37,0,10
ZScore_Raw,conv-26_qa_38,0,10
ZScore_Raw,conv-26_qa_39,0.25,10
ZScore_Raw,conv-26_qa_4,0,10
ZScore_Raw,conv-26_qa_40,0.5,10
ZScore_Raw,conv-26_qa_41,1.0,10
ZScore_Raw,conv-26_qa_42,0,10
ZScore_Raw,conv-26_qa_43,0.16666666666666666,10
ZScore_Raw,conv-26_qa_44,1.0,10
ZScore_Raw,conv-26_qa_45,0.3333333333333333,10
ZScore_Raw,conv-26_qa_46,0,10
ZScore_Raw,conv-26_qa_47,0,10
ZScore_Raw,conv-26_qa_48,0.25,10
ZScore_Raw,conv-26_qa_49,0.5,10
ZScore_Raw,conv-26_qa_5,0.5,10
ZScore_Raw,conv-26_qa_50,0,10
ZScore_Raw,conv-26_qa_51,0.1,10
ZScore_Raw,conv-26_qa_52,0.3333333333333333,10
ZScore_Raw,conv-26_qa_53,0.5,10
ZScore_Raw,conv-26_qa_54,1.0,10
ZScore_Raw,conv-26_qa_55,0,10
ZScore_Raw,conv-26_qa_56,0.3333333333333333,10
ZScore_Raw,conv-26_qa_57,0.3333333333333333,10
ZScore_Raw,conv-26_qa_58,1.0,10
ZScore_Raw,conv-26_qa_59,1.0,10
ZScore_Raw,conv-26_qa_6,1.0,10
ZScore_Raw,conv-26_qa_60,0.3333333333333333,10
ZScore_Raw,conv-26_qa_61,0,10
ZScore_Raw,conv-26_qa_62,1.0,10
ZScore_Raw,conv-26_qa_63,1.0,10
ZScore_Raw,conv-26_qa_64,0.3333333333333333,10
ZScore_Raw,conv-26_qa_65,0.2,10
ZScore_Raw,conv-26_qa_66,0.5,10
ZScore_Raw,conv-26_qa_67,1.0,10
ZScore_Raw,conv-26_qa_68,0.25,10
ZScore_Raw,conv-26_qa_69,0,10
ZScore_Raw,conv-26_qa_7,0.25,10
ZScore_Raw,conv-26_qa_70,1.0,10
ZScore_Raw,conv-26_qa_71,0.3333333333333333,10
ZScore_Raw,conv-26_qa_72,1.0,10
ZScore_Raw,conv-26_qa_73,0,10
ZScore_Raw,conv-26_qa_74,0.3333333333333333,10
ZScore_Raw,conv-26_qa_75,0,10
ZScore_Raw,conv-26_qa_76,0.25,10
ZScore_Raw,conv-26_qa_77,1.0,10
ZScore_Raw,conv-26_qa_78,0.3333333333333333,10
ZScore_Raw,conv-26_qa_79,1.0,10
ZScore_Raw,conv-26_qa_8,1.0,10
ZScore_Raw,conv-26_qa_80,1.0,10
ZScore_Raw,conv-26_qa_81,0,10
ZScore_Raw,conv-26_qa_82,1.0,10
ZScore_Raw,conv-26_qa_83,0.3333333333333333,10
ZScore_Raw,conv-26_qa_84,0,10
ZScore_Raw,conv-26_qa_85,0,10
ZScore_Raw,conv-26_qa_86,0.5,10
ZScore_Raw,conv-26_qa_87,0.5,10
ZScore_Raw,conv-26_qa_88,0,10
ZScore_Raw,conv-26_qa_89,0,10
ZScore_Raw,conv-26_qa_9,1.0,10
ZScore_Raw,conv-26_qa_90,0,10
ZScore_Raw,conv-26_qa_91,0.5,10
ZScore_Raw,conv-26_qa_92,1.0,10
ZScore_Raw,conv-26_qa_93,1.0,10
ZScore_Raw,conv-26_qa_94,1.0,10
ZScore_Raw,conv-26_qa_95,0.2,10
